"","Selection","Breeding_year","Day","Month","Year","Country","Region","Site_name","Site_Code","Euring","Species","Sample_type","Sample_no","Total_flock","N_Adult","N_Juvenile","N_sampled","Perc-JV","Fam1","Fam2","Fam3","Fam4","Fam5","Fam6","Fam7","Fam8","Fam9","Fam10","Mean_Fam","Food_type","Observer","Remarks","time"
"1","X",2001,6,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,164,155,9,164,5.48780487804878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-06
"2","X",2001,13,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,122,110,12,122,9.83606557377049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-13
"3","X",2001,13,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,89,67,22,89,24.7191011235955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-13
"4","X",2001,13,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,280,251,29,280,10.3571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-13
"5","X",2001,13,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,90,83,7,90,7.77777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-13
"6","X",2001,13,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,213,195,18,213,8.45070422535211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-13
"7","X",2001,18,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,306,274,32,306,10.4575163398693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-18
"8","X",2001,18,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,239,182,57,239,23.8493723849372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-18
"9","X",2001,19,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,102,75,27,102,26.4705882352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-19
"10","X",2001,20,10,2001,"NL","RG","IJssel, Eefde","RG2100",1590,"Kolgans","S",1,105,68,37,105,35.2380952380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-10-20
"11","X",2001,23,10,2001,"NL","WG","Texel, Z-Eyerlandse polder","WG1100",1590,"Kolgans","S",1,210,83,31,114,27.1929824561404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spaans, Bernard",NA,2001-10-23
"12","X",2001,23,10,2001,"NL","ZL","Catharinapolder","ZL5200",1590,"Kolgans","S",1,60,43,13,56,23.2142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"maisstoppel","Berrevoets, Cor",NA,2001-10-23
"13","X",2001,25,10,2001,"NL","RG","IJssel, Voorsterklei","RG2200",1590,"Kolgans","S",1,200,168,32,200,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-10-25
"14","X",2001,26,10,2001,"NL","RG","IJssel, Bronkhorsterwaarden","RG2100",1590,"Kolgans","S",1,700,323,127,450,28.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-10-26
"15","X",2001,27,10,2001,"NL","RG","Gendtse Polder","RG1160",1590,"Kolgans","S",1,500,158,87,245,35.5102040816327,8,16,9,5,NA,NA,NA,NA,NA,NA,2.28947368421053,"gras","Voslamber, Berend",NA,2001-10-27
"16","X",2001,27,10,2001,"NL","RG","Lent","RG1100",1590,"Kolgans","S",1,728,566,162,728,22.2527472527473,36,30,12,6,NA,1,NA,NA,NA,NA,1.90588235294118,"gras","Voslamber, Berend",NA,2001-10-27
"17","X",2001,27,10,2001,"NL","RG","Gendtse Polder","RG1160",1590,"Kolgans","S",1,1030,820,210,1030,20.3883495145631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-10-27
"18","X",2001,27,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,53,26,27,53,50.9433962264151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-27
"19","X",2001,27,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,84,65,19,84,22.6190476190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-27
"20","X",2001,27,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,85,61,24,85,28.2352941176471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-27
"21","X",2001,27,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,122,85,37,122,30.327868852459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-27
"22","X",2001,27,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,35,26,9,35,25.7142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-27
"23","X",2001,27,10,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,252,182,70,252,27.7777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-10-27
