"","waypoint","date","time","n.group","n.ads","n.juv","n.par","n.male","n.fem","terrain","activity","weather","species","n.het","tag","ele","long","lat"
"4","Camp 001","08/07/16","13:45",3,2,1,2,1,1,"l","e","cloudy","wfg",NA,"",112.824745,48.634211,69.248562
"5","Camp 001","08/07/16","13:45",4,2,2,2,1,1,"l","e","cloudy","wfg",NA,"",112.824745,48.634211,69.248562
"6","Camp 001","08/07/16","13:45",4,2,2,2,1,1,"l","e","cloudy","wfg",NA,"",112.824745,48.634211,69.248562
"11","Camp 001","08/14/16","20:45",4,2,2,2,1,1,"a","e","overcast","wfg",NA,"",112.824745,48.634211,69.248562
"12","Camp 001","08/15/16","08:25",5,2,3,2,1,1,"a","e","clear","wfg",NA,"",112.824745,48.634211,69.248562
"13","K001","08/06/16","10:41",19,2,4,2,1,1,"b","e","cloudy","wfg",5,"",112.113403,48.626985,69.263174
"14","K001","08/06/16","10:45",19,2,6,2,1,1,"b","e","cloudy","wfg",5,"",112.113403,48.626985,69.263174
"15","K001","08/06/16","10:45",19,2,3,2,1,1,"b","e","cloudy","wfg",5,"",112.113403,48.626985,69.263174
"16","K002","08/06/16","12:07",4,2,2,2,1,1,"w","s","cloudy","wfg",2,"",113.678658,48.628464,69.262729
"17","K003","08/06/16","20:42",2,2,0,NA,1,1,"l","w","cloudy ","wfg",NA,"",117.361908,48.634207,69.24861
"18","K004","08/07/16","10:45",6,2,4,2,1,1,"w","e","cloudy","wfg",NA,"",114.493225,48.634153,69.248548
"19","K006","08/09/16","10:48",4,2,2,2,1,1,"","e","fog","wfg",NA,"",102.198814,48.613687,69.245747
"20","K007","08/09/16","11:11",2,2,0,NA,1,1,"l","e","fog","wfg",NA,"",83.132187,48.592994,69.2415
"21","K008","08/09/16","11:30",4,2,2,2,1,1,"l","e","fog","wfg",NA,"",69.4272,48.567728,69.242732
"22","K009","08/09/16","11:43",2,2,0,NA,1,1,"l","e","fog","wfg",NA,"",57.801735,48.557622,69.239504
"23","K010","08/09/16","12:12",11,9,2,NA,NA,NA,"l","e","fog","wfg",NA,"",30.763748,48.529817,69.230841
"24","K011","08/09/16","13:50",4,2,2,2,1,1,"l","e","fog","wfg",NA,"",19.386089,48.465655,69.227819
"25","K011","08/09/16","13:09",4,2,2,2,1,1,"l","e","fog","wfg",NA,"",19.386089,48.465655,69.227819
"26","K012","08/09/16","14:42",17,2,2,2,1,1,"w","s","clouds","wfg",13,"",25.988249,48.460764,69.232575
"27","K013","08/09/16","16:34",2,2,0,NA,1,1,"a","e","clouds","wfg",NA,"",29.033031,48.467743,69.235272
"28","K013","08/09/16","16:34",21,21,0,NA,NA,NA,"a","e","clouds","wfg",NA,"",29.033031,48.467743,69.235272
"29","K014","08/09/16","16:49",2,2,0,NA,NA,NA,"l","e","clouds","wfg",NA,"",37.854759,48.488381,69.23512
"30","K015","08/09/16","16:53",5,5,0,NA,NA,NA,"a","e","clouds","wfg",NA,"",38.590843,48.491138,69.235262
"31","K016","08/09/16","17:58",5,2,3,2,1,1,"l","e","fog","wfg",NA,"",74.27594,48.559392,69.241867
"32","K017","08/09/16","18:58",2,2,0,NA,NA,NA,"l","e","fog","wfg",NA,"",119.663887,48.622502,69.24944
"33","K018","08/10/16","10:20",7,2,5,2,1,1,"l","e","clear","wfg",NA,"",104.502968,48.639178,69.242211
"34","K018","08/10/16","10:38",3,2,1,2,1,1,"l","e","clear","wfg",NA,"",104.502968,48.639178,69.242211
"35","K020","08/10/16","21:03",4,1,3,1,NA,NA,"l","e","clear","wfg",4,"",119.381912,48.616087,69.252933
"36","K021","08/14/16","09:30",2,2,0,NA,NA,NA,"l","e","clouds","wfg",NA,"",102.154312,48.619321,69.247991
"37","K021","08/14/16","09:30",2,2,0,NA,NA,NA,"l","e","clouds","wfg",NA,"",102.154312,48.619321,69.247991
"38","K021","08/14/16","09:30",3,2,1,2,1,1,"l","e","clouds","wfg",NA,"",102.154312,48.619321,69.247991
"39","K021","08/14/16","09:30",4,2,2,2,1,1,"l","e","clouds","wfg",NA,"",102.154312,48.619321,69.247991
"40","K021","08/14/16","09:30",2,2,0,NA,NA,NA,"l","e","clouds","wfg",NA,"",102.154312,48.619321,69.247991
