"","lon","lat","places[1:100]"
"1",6.3685649,51.8024362,"Emmerich-Bienen-Rees"
"2",5.6564317,52.7851798,"Noordoostpolder -Wrakkenpad"
"3",5.406829,53.0385612,"Piaam"
"4",5.2321687,51.4826537,"Noord-Brabant"
"5",5.6564317,52.7851798,"Noordoostpolder-Wrakkenpad"
"6",5.9576325,52.671464,"Bentpolder bij Vollenhove"
"7",5.8911838,52.5842995,"Kampereiland"
"8",5.6268886,52.7252845,"Noordoostpolder - Espelerpad"
"9",NA,NA,"Barsbekerbinnenpolder"
"10",6.0032155,53.0702908,"Nijbeets"
"11",5.7814,53.0410043,"Terhorne"
"12",5.6501505,52.981679,"West van Hommerts"
"13",5.6377756,52.9580538,"Smallebrugge"
"14",5.6287027,52.9427599,"Woudsend"
"15",4.9746364,52.4976121,"Slotermeer"
"16",5.6587863,52.9112987,"Stikels"
"17",5.4958856,52.850988,"Zuiderfennenspolder"
"18",NA,NA,"Polder de Langsloot"
"19",NA,NA,"Buitenland - Vogeleiland"
"20",5.5730617,52.9719095,"Idzegaasterpoel"
"21",NA,NA,"Sondeler Warren"
"22",5.4649598,52.8567456,"Mirns"
"23",5.4992868,52.8632514,"Rijs"
"24",5.6500956,52.994763,"Jutrijp"
"25",6.2132021,52.1015921,"Cortenoever, Ganzenei"
"26",6.1989792,52.1265722,"IJssel bij Zutphen"
"27",5.6915954,52.7531532,"Noordoostpolder, Weg van Ongenade"
"28",NA,NA,"Noordoostpolder, Zwarte Water en Kadoelermeer"
"29",NA,NA,"Kadoelermeer, oude land"
"30",5.608784,52.8754905,"Nieuwe Sondelerpolder"
"31",NA,NA,"IJssel zuid van Olst"
"32",6.3837864,51.2597297,"Niederrhein"
"33",6.063273,52.6168964,"Zwarte Water bij Genemuiden"
"34",NA,NA,"Veldiger Buitenlanden"
"35",6.2135166,52.6381996,"Staphorsterveld"
"36",5.9705176,52.6887736,"Leeuwterveld"
"37",NA,NA,"Sondelerpolder"
"38",5.4278292,53.0003921,"Doniaburen"
"39",NA,NA,"Lemsterland-Schuddingsteeg"
"40",4.5052,51.09539,"Düffel"
"41",NA,NA,"Mokkebank"
"42",5.6497703,53.0232604,"IJlst-Jutrijp"
"43",4.33848,52.0894328,"Nederland totaal"
"44",6.0475,51.8633,"Millingen"
"45",6.0767345,51.8432919,"Keeken"
"46",NA,NA,"IJssel, weerdeweg"
"47",5.8203814,53.2256277,"Lekkum, Leeuwarden"
"48",NA,NA,"Laaksum-Roode Klif"
"49",6.0060827,52.6457945,"Vogeleiland Zwarte Meer"
"50",5.7378425,52.692622,"Noordoostpolder"
"51",13.5967339,55.6783755,"Vombsjön"
"52",13.94046,55.74142,"Illstorp"
"53",14.6143984,53.8419317,"Wolin"
"54",14.13285,53.818271,"Stettinerhaf"
"55",13.6959731,53.8502906,"Anklam"
"56",NA,NA,"Bargishow"
"57",14.0958343,53.9335819,"Usedom"
"58",13.7517685,54.1171229,"Kröslin"
"59",13.5281291,54.1123713,"Loissin"
"60",13.583333,54.533333,"Jasmund"
"61",13.3797663,54.2935899,"Garz"
"62",13.2838253,54.6482286,"Wieker Bodden"
"63",4.4837029,51.9335536,"Zuid van Wiek"
"64",NA,NA,"NW van Stralsund"
"65",11.4394546,53.9986133,"Poel"
"66",6.1700771,52.1939641,"Ravenswaarden"
"67",NA,NA,"Angerensche- en Doornenburgsche Waard"
"68",5.3050968,52.3352944,"Zuid-Flevoland, vogelweg"
"69",5.8936968,51.8536083,"Waal bij Ooy"
"70",5.9703581,51.8232364,"Zyfflich"
"71",NA,NA,"Kaliwaal binnendijks"
"72",6.2279118,52.1710233,"IJssel bij Eefe"
"73",5.8015695,51.3257989,"Groote Peel"
"74",4.7426213,51.6883234,"Hoge Zwaluwe"
"75",5.4560688,51.9825454,"Maurik-Amerongen"
"76",NA,NA,"Batos Erf aan de Waal"
"77",6.0476589,51.8614445,"Düffelt"
"78",NA,NA,"Drutensche Waard"
"79",5.9150712,51.4159508,"Mariapeel"
"80",11.4012499,53.6355022,"Schwerin"
"81",11.4516022,53.8979416,"Wismar"
"82",19.8417669,49.9466235,"Bukow"
"83",11.9925042,53.8341755,"Bützow"
"84",12.7010764,53.4188888,"Müritz"
"85",NA,NA,"Molkower See"
"86",13.0924353,54.2891679,"Bock-Stralsund"
"87",13.774456,54.0653875,"Wolgast-Lassan"
"88",13.8487883,53.9476977,"Lassan"
"89",6.1989792,52.1265722,"IJssel bij Zupthen"
"90",NA,NA,"IJssel bij Ganzenei"
"91",5.426614,52.9771481,"Workumerwaard"
"92",5.6272817,51.8849145,"Land van Maas en Waal"
"93",6.0179496,51.9474576,"Duiven"
"94",6.1002756,51.9895448,"Doesburg-Bingerden"
"95",6.2314647,52.1640328,"Eefde"
"96",4.8616901,51.6410202,"Oosterhout"
"97",6.1659685,52.1718127,"Voorster Klei"
"98",5.9500655,53.0980115,"De Veenhoop"
"99",6.4009583,51.8184498,"Hetter - Bienen"
"100",7.5407494,44.9334927,"None"
